,0
Nrp2,26.444447857142855
Eef1b2,7.82257214285714
Gpr1,7.82257214285714
Ino80d,7.82257214285714
Ndufs1,7.82257214285714
Snora41,7.82257214285714
Adam23,5.750106666666667
Dytn,14.74189
Fastkd2,14.74189
Mdh1b,14.74189
Klf7,51.50802
Creb1,19.318042
Fam119a,71.5796375
Ccnyl1,15.16804
Fzd5,15.16804
D630023F18Rik,15.6858925
Idh1,15.6858925
Crygf,14.54583
Mtap2,23.3391825
Rpe,11.177943333333332
1110028C15Rik,73.59326
Acadl,73.59326
Myl1,1.9920400000000003
Cps1,19.88157
Erbb4,2.0907074999999997
Ikzf2,36.08658666666667
Vwc2l,12.16905
Bard1,21.37793
Atic,29.72778
Fn1,29.535121111111113
Gm8883,29.733706000000005
Mreg,5.200294583333332
Pecr,9.420119999999999
Tmem169,9.420119999999999
Xrcc5,2.6465899999999998
4-Mar,10.925049999999999
Smarcal1,37.487429999999996
Ankar,18.03869888888889
Igfbp2,18.03869888888889
Rpl37a,18.03869888888889
Igfbp5,29.178729999999998
Tnp1,29.023744999999998
Cxcr2,54.5648432
Rufy4,54.5648432
Tns1,54.5648432
Cxcr1,0.52258
Aamp,39.88992727272727
Arpc2,39.88992727272727
Gpbar1,39.88992727272727
Pnkd,39.88992727272727
Tmbim1,39.88992727272727
Ctdsp1,64.60956333333334
Mir26b,64.60956333333334
Rqcd1,64.60956333333334
Slc11a1,64.60956333333334
Vil1,64.60956333333334
Bcs1l,26.88982
Rnf25,26.88982
Stk36,26.88982
Zfp142,26.88982
Ccdc108,10.891171666666667
Cdk5r2,10.891171666666667
Cryba2,10.891171666666667
Fev,10.891171666666667
Ihh,10.891171666666667
Mir375,10.891171666666667
Wnt10a,10.891171666666667
Wnt6,10.891171666666667
1810031K17Rik,33.47388099999999
Abcb6,33.47388099999999
Ankzf1,33.47388099999999
Atg9a,33.47388099999999
Dnajb2,33.47388099999999
Fam134a,33.47388099999999
Glb1l,33.47388099999999
Nhej1,33.47388099999999
Ptprn,33.47388099999999
Resp18,33.47388099999999
Slc23a3,33.47388099999999
Stk16,33.47388099999999
Tuba4a,33.47388099999999
Zfand2b,33.47388099999999
Dnpep,49.02515
Des,70.921085
Speg,70.921085
Accn4,25.107729999999997
Chpf,25.107729999999997
Tmem198,25.107729999999997
Inha,14.922261111111109
Obsl1,14.922261111111109
Stk11ip,14.922261111111109
Slc4a3,2.45377
Epha4,21.37254142857143
Pax3,19.17926
Sgpp2,23.609896666666668
Farsb,19.250799999999998
Mogat1,19.250799999999998
Utp14b,17.47656
Kcne4,22.847854444444444
Gm11202,24.6023
Scg2,24.6023
Ap1s3,2.47435
Wdfy1,37.28404857142857
Serpine2,22.826984000000003
Fam124b,35.11681
Cul3,27.88428
Dock10,19.506614444444445
Irs1,75.0054125
Rhbdd1,75.0054125
Mff,15.51149
Agfg1,15.919326666666668
Slc19a3,9.270875
Ccl20,37.77667090909091
Sphkap,14.27723
Pid1,16.029122857142855
Dner,8.059965
Fbxo36,7.31718142857143
Trip12,7.31718142857143
A630001G21Rik,15.687729999999998
Cab39,15.687729999999998
Gpr55,21.665253333333336
Itm2c,21.665253333333336
Spata3,21.665253333333336
2810459M11Rik,9.30618
Psmd1,9.30618
Armc9,23.952910000000003
B3gnt7,4.058972857142858
Snora75,3.42844
Snord82,3.42844
C130036L24Rik,40.20046
Ncl,40.20046
1700019O17Rik,69.06754500000001
Nmur1,69.06754500000001
Alpi,43.6771
Alppl2,43.6771
Akp3,73.54498000000001
Chrnd,73.54498000000001
Ecel1,73.54498000000001
Eif4e2,59.848369999999996
Efhd1,11.882553333333332
Gigyf2,11.882553333333332
Kcnj13,11.882553333333332
Inpp5d,2.4511866666666666
Dgkd,32.224633999999995
Sag,32.224633999999995
Usp40,21.62105
Ugt1a5,16.90567
Ugt1a6a,16.90567
Ugt1a6b,16.90567
Arl4c,18.28279285714286
Sh3bp4,33.721654999999984
Agap1,21.742086666666665
4933400F21Rik,46.58811
Gbx2,7.980637499999999
Cxcr7,32.090176
Iqca,32.090176
Cops8,23.2501
Mlph,44.50977176470588
Lrrfip1,31.274756315789467
Ramp1,45.53995166666667
Ube2f,45.53995166666667
Espnl,23.990244999999998
Fam132b,23.990244999999998
Klhl30,23.990244999999998
Scly,23.990244999999998
Ilkap,27.43137
Hes6,22.681749999999997
Per2,22.681749999999997
Twist2,47.097206666666665
Hdac4,24.65178142857143
Ndufa10,30.04716285714286
Olfr1414,30.04716285714286
Olfr1415,30.04716285714286
Olfr1416,30.04716285714286
Myeov2,23.64331
Olfr12,23.64331
Otos,23.64331
Gpc1,31.188926666666664
Mir149,31.188926666666664
Capn10,57.57147
Dusp28,57.57147
Rnpepl1,57.57147
Sned1,36.538432
2-Sep,79.58183166666667
Farp2,79.58183166666667
Hdlbp,79.58183166666667
Stk25,54.066845
Bok,20.45767
Atg4b,13.4988075
Thap4,13.4988075
D2hgdh,40.20769
Dtymk,40.20769
Gal3st2,40.20769
Gm6086,40.20769
Ing5,40.20769
Fam174a,6.818789999999999
St8sia4,6.818789999999999
Slco4c1,1.01889
D1Ertd622e,19.69781
Gin1,35.73064
Ppip5k2,35.73064
Pam,16.564745555555554
Slco6d1,16.564745555555554
Cdh20,7.252510000000001
Rnf152,13.891725000000001
2310035C23Rik,40.94073
Pign,40.94073
Tnfrsf11a,26.79608
Zcchc2,41.75498666666667
